"description"|"postion"|"posted"|"salary"|"location"|"contract"|"company"|"company_type"|"industry"
"Exciting and varied R&D role within a global business focused on helping to achieve more sustainable agricultural outcomes through innovation and science. The company have a well-established portfolio of micronutrient and foliar products aimed at boosting  performance across a wide range of agricultural and food crops. Exciting new products and biostimulants are in development. This varied role will involve the planning, and execution of trials, both field and glasshouse based; providing expert knowledge and  technical support to colleagues; regulatory affairs advice and support; putting together relevant data and translating research results for a wider audience. The role will involve contact with colleagues within the R&D team, as well as sales and marketing  teams and collaboration with colleagues around the world. and lots of other things.Candidate Profile Degree in Agriculture, Plant Science or related subject. Postgraduate level (M.Sc. or Ph.D.) in related discipline with focus on foliar nutrition would be  really helpful. Experience running research programmes under greenhouse and/or field conditions Experience in designing agronomy experiments and doing statistical analysis. Able to put together scientific writing and give presentations. Experience with management  of databases. Team player, who enjoys collaboration with colleagues, and other groups. Strong interpersonal and communication skills: both written and verbal.Location: YorkshireRewards: An attractive rewards package and ongoing career development opportunities.Please  call Margaret Wilkinson for a confidential discussion or email your CV and enquiry to "|"Plant Scientist or Research Agronomist - reed.co.uk"|"2021-03-26"|"Competitive salary"|"London"|"Permanent, full-time"|"Aggregator Network"|"Direct employer"|"Logistics And Transport"
"My client are a market leading US Quant Hedge Fund expanding in London. They deploy systematic, computer-driven trading strategies across multiple asset classes, including equities, futures, and foreign exchange. The focus of their effort is rigorous research  into a wide range of market anomalies, fuelled cutting edge infrastructure and trading platform. They are seeking pragmatic and imaginative thinkers to join their team. Quantitative Research Scientists are involved in the full trading strategy research process:  The role will include, but not be limited to: Developing trading strategies, from idea generation and data collection to analysis and model development; Applying quantitative techniques and to large, often alternative datasets Examine and develop opportunities  to pursue previously unexplored research topics. Requirements Include: A master's or PhD degree in statistics, mathematics, physics, computer science, or other technical and quantitative disciplines Strong programming skills (C++, Java, C#) & scripting languages  Experience tackling in-depth research projects. Solid analytical and organizational skills. The ability to communicate complex ideas clearly. Although industry knowledge or experience is preferred, my client will consider exceptional candidates without a background  in finance"|"Quantitative Research Scientist - reed.co.uk"|"2021-03-17"|"Competitive salary"|"London"|"Permanent, full-time"|"eFinancial Careers"|"Direct employer"|"Information Technology"
"Do you have an equities-focused background and a highly numerical skillset? Do you have an appreciation for the relationship between data-driven and fundamental approaches to investing? Are you ready to step into an advisory role and become an integral  part of the investment process of multiple PMs? Is connecting the dots and drawing insightful conclusions your strength? Do you consider yourself a great communicator who can spot trading patterns and communicate them with clarity and ease? This is an exciting  role with one of London's top hedge funds. The successful candidate will focus on liaising with various stakeholders: PMs - focus on surfacing recommendations backed by data. If the individual is credible and is adding insight and value, they will become an  integral part of the PM's investment process The founder - the role will involve presenting a well thought out monthly/ quarterly Trading Analytics report full of observations and recommendations Proprietary development team - the candidate will be expected  to conceptually understand the ins and outs of what goes into the complex analytics, and be able to communicate stakeholders' needs and ideas to the analytics team for them to put into production. If the above sounds like you, feel free to apply."|"EQUITIES TRADING BEHAVIOURAL SCIENTIST - reed.co.uk"|"2021-03-16"|"Competitive salary"|"London"|"Permanent, full-time"|"eFinancial Careers"|"Direct employer"|"Marketing And Media"
"This role involves working in the Laboratory Surveillance Team, which is involved in ensuring that infectious disease data reported to Public Health England by diagnostic laboratories and Point-Of-Care-Test (POCT) providers is timely and complete. The focus  at present is on COVID-19 test data; however, the support is also provided for routine reporting of other infectious diseases. The post holder will be regularly liaising with testing laboratories and will support members of the team in regularly auditing laboratories and working with test providers to improve the quality of reporting. The role will help develop automated routines and solutions as well as overseeing and responding to more complex or sensitive data requests. The post holder will need to apply knowledge of, manipulating data, database architecture and data extraction. The  post holder will manage assigned members of the Laboratory Surveillance team. "|"Senior Scientist - reed.co.uk"|"2021-03-19"|"£36,329 - £45,998 per annum"|"London"|"Contract, full-time"|"NHS Business Services Authority"|"Direct employer"|"Information Technology"
"Your role Are you a highly quantitative individual with a deep interest in the future evolution of African, Middle Eastern, and European power markets? Do you enjoy analysing complex problems and delivering well-structured solutions? We're looking for  an Energy Consultant, within the Power and Renewables Consulting team of the Climate and Sustainability business vertical to: Participate in consulting project development and delivery, leading power supply, demand, and prices forecasts. Apply energy industry  knowledge into a variety of market designs and realities as required by different consulting projects need. Tasks would include supply-demand power modelling, legal and regulatory framework analysis, market screening, entry strategies, scenario energy planning,  gas-to-power monetisation assessments, power generation economics analysis, and asset due diligence and valuation. The main geographical focus will be African and Middle Eastern markets. Travel for consulting assignments. Support, on a needs basis, IHS Markit's  European power, gas, and renewables analysis in terms of market projections; regulation tracking; economic assessments; economic competitiveness of various power sector supply resources; tracking power market design evolution; and supply and demand fundamentals.  Deliver insights through written reports, presentations, and client interactions. Your team You will be working in the Gas, Power, and Energy Futures Consulting Team in London. The team is part of a global gas and power group that allows IHS Markit to deliver  unrivalled insights into the future direction of energy markets, informing investment decisions, scenario planning, and asset due diligence and valuation . Your expertise You have An Electrical Engineering bachelor's degree or another highly quantitative subject.  At least three years' experience of maintaining and developing large models of complex power systems and an understanding of power dispatch and demand modelling. Fluent in English, with French, German, and/or Arabic reading skills desirable. Knowledge and  experience of third-party power dispatch software, such as Plexos and Aurora and advanced proficiency with MS Office applications (Excel, Word and PowerPoint) and VBA. You are or have Strong analytical skills and demonstratable experience in using structured  methods and data analysis to derive research insights and messages. An effective verbal and written communicator. Effective interpersonal skills to enable communication and collaboration with colleagues and clients. Able to work effectively in a team-oriented  environment and to navigate in a matrix organization. Your Benefits Become part of a small, dynamic and knowledgeable team. Develop and learn from industry experts. Broaden your knowledge of international oil, gas and power markets. Flexible Working We pride  ourselves on our agility and diversity, and we welcome requests to work flexibly. For most roles, flexible hours and/or an element of remote working are usually possible. Please talk to us at interview about the type of arrangement that is best for you. We  will always try to be adaptable wherever we can. Return to Work Have you taken time out for caring responsibilities and are now looking to return to work? As part of our Return to Work initiative (link to career site page when available), we are encouraging  enthusiastic and talented returners to apply, and will actively support your return to the workplace. Your colleagues About us We are over 14,000 analysts, data scientists and specialists armed with real-time technology and data, working together to uncover  deeper sources of information. The unique insights we provide help the industries and markets that drive our economies operate more efficiently, outpace competition and secure long-term success. Our global insights impact nearly every major sector - from aerospace  to automotive. We empower our customers by isolating cause and effect, risk and opportunity in new ways so they can make well-informed decisions with greater confidence. This is a force we call The New Intelligence. Join us Boundaries belong on maps, not in  your work. Start every day at IHS Markit with the excitement of what's next, by working with people from across the globe on interesting, cutting-edge projects and gaining once-in-a-lifetime learning experiences. It is easy to be passionate and invested in  your work here, knowing you are causing an effect for some of the world's most influential companies. You'll get to be hands-on with, and see the direct impact, of your work. Career satisfaction just comes with the territory here. Inclusion and diversity are  critical to the success of IHS Markit, and we actively encourage applications from people of all backgrounds. We are committed to providing equal employment opportunity without regard to race, color, religion, sex, sexual orientation, gender identity, age,  national origin, disability, status as a protected veteran, or any other protected category. For more information on the many ways in which we enthusiastically support inclusion and diversity efforts for both candidates and employees, please access our Inclusion  & Diversity Statement here . We are proud to provide reasonable accommodations to applicants with disabilities. If you are interested in applying for employment with IHS Markit and need special assistance or an accommodation to use our website or to apply  for a position, please contact or call +. Determination on requests for reasonable accommodation are considered on a case-by-case basis. This contact information (email and phone) is intended for application assistance and accommodation requests only. We are  unable to accept resumes or provide information about application status through the phone number or email address above. Resumes are only accepted through the online application process, and only qualified candidates will receive consideration and follow-up.  IHS Markit maintains a substance-free workplace; employees may be asked to submit to a drug test (where permitted by law). In addition, as a federal contractor in the United States, the company participates in the E-Verify Program to confirm eligibility to  work. For information please click on the following links: IHS Markit Business Code of Conduct Right to Work EEO is the Law EEO is the Law Supplement Pay Transparency Current Colleagues If you are currently employed by IHS Markit, please apply internally via  the Workday internal careers site."|"Power Consultant - reed.co.uk"|"2021-03-16"|"Competitive salary"|"London"|"Permanent, full-time"|"eFinancial Careers"|"Direct employer"|"Legal"
"About Marketing and Media AssuranceBased in Embankment Place in London, our Marketing & Media Assurance team has ~40 people in London and 300+ experienced marketing and media personnel worldwide.Our team includes senior ex-marketers, ex-agency leaders,  ex-programmatic traders, retail / customer data scientists, marketing econometricians, and privacy lawyers who have worked in publishing and advertising, all combined with the core skills for which PwC is renowned; process / controls / assurance / data / technology.It  is this blend of capability and skills which we believe makes our proposition unique and compelling. We are a neutral, truly independent party committed to delivering trust and transparency across the marketing ecosystem. Our services cover customer data analytics,  marketing effectiveness, media assurance auditing, media advisory, audience reporting, campaign delivery, data privacy, and audits of media supply chains.About the role We work with advertisers to help manage their media investments and their agency relationships,  by aligning interests of all parties, and then by providing assurance over the agency deliverable by applying specialist audit and advisory skills.We are unique in the market in that our business is built from a basis of professional standard audit skills  that any client would expect from PwC - characterised by the relentless pursuit of completeness, accuracy, and first hand verification of all information and data - allied to specialist media skills across all channels.Our rapidly growing client base comprises  advertisers, media owners, ad-tech providers, agencies and industry bodies in the UK, and across 10 centre's of excellence globally and 150+ PwC offices worldwide.We work with the world's largest advertisers on a global, regional and local market basis, providing  services across all communication channels from traditional / linear to digital / programmatic and increasingly into new areas such as influencers.We are looking to expand our team with a series of new hires, including a Senior Associate with circa 5 years  of experience who is able to demonstrate specialist, in-depth experience across digital media and programmatic trading ideally in at least two of the following industry sectors: ad tech, advertiser and agency.This person will play a key role in: Delivering  advertiser projects in digital and programmatic media to new and existing clients Supporting the wider assurance team with their digital engagements Upskilling our teams in both the concepts and practicalities of using and advising on programmatic tools and  techniques Building and maintaining a strong network both internally within PwC and externally with clients Support in developing new solutions for us to take to clients across digital advertising products Helping identify the skill gaps in our team with a  view to developing new skills and /or recruiting new talentWho we are looking for One of our stated goals is to help the advertising and media industry rebuild trust and establish a future which is open, fair and transparent for all parties, with a particular  emphasis on the digital and programmatic advertising ecosystem. We are looking for an individual who is motivated by helping clients better understand and navigate the inherent challenges of digital media, more specifically:For Advertisers auditing over programmatic  strategy, set up, optimisation, delivery and third party tools. suppy Path Optimisation documentation and advice. Verification tools and best practices when it comes to ad fraud, viewability and brand safety. Support on preparation for the post-cookie ecosystemIn  Adtech structuring internal processes and controls to reassure business partners that platforms are open/fair/transparent, data is secure etc.For Media Owners providing assurance over their long term digital strategy, data monetisation, tech integrations.  support on preparation for the post-cookie ecosystemIn Martech support in helping perform assessments into marketing technology application, journey support, activation strategies driving PwC's market understanding e.g. of partner technologies, market trends  and costsEssential skills: Strong communication and presentation skills Strong analytical skills, ability and eagerness to deal with complex issues Strong project management skills Very good understanding of digital advertising, programmatic trading and ad  ops Self-starter and problem-solver Experience working in Demand-side Platforms e.g Google DV360, The Trade Desk, MediaMath, Amobee, Xandr, Amazon Ads Manager, Adform Experience working with Adservers e.g.Google Campaign Manager, Sizmek, Flashtalking Experience  working with Verification tools e.g. MOAT, Integral Ad Science, DoubleVerifyDesirable skillsHolistic understanding and experience using a suite of digital and programmatic tools for example, but not limited to: Supply-side Platforms / Mediated Partners - e.g  Google, Facebook Audience Network, Rubicon, AppNexus, OpenX, Pubmatic, Index Data Management Platforms e.g. Adobe, Oracle, Adform, Amobee Social Platforms e.g.Facebook, Snapchat, Twitter, Pinterest Reporting Tools Tableau, Metamarkets, Power BI, Datorama Other  tools e.g Adobe Suite, Google Tag Manager, Oracle (Bluekai), SalesforceRisk AssuranceWe're a leading provider of trust in the digital world - in the eyes of our people, our clients and our stakeholders. Today's business environment is different. More complex.  More connected. Companies not only face new and unknown risks, but also new and untapped opportunities. Our team is at the forefront of this change, join us to be a part of transforming how risk is perceived and capitalised on.Not the role for you?Did you  know PwC offer flexible contract arrangements as well as contingent work (ie temporary or day rate contracting)?The skills we look for in future employeesAll our people need to demonstrate the skills and behaviours that support us in delivering our business  strategy. This is important to the work we do for our business, and our clients. These skills and behaviours make up our global leadership framework, 'The PwC Professional' and are made up of five core attributes; whole leadership, technical capabilities,  business acumen, global acumen and relationships.DiversityValuing Difference. Driving Inclusion.We work in a changing world which offers great opportunities for people with diverse backgrounds and experiences. We seek to attract and employ the best people  from the widest talent pool because creating value through diversity is what makes us strong as a business, enabling us to solve important problems and deliver value to our clients. We encourage an inclusive culture where people can be themselves, are valued  for their strengths and are empowered to be the best they can be. As an organisation with an increasingly agile workforce, we also support different ways of working offering flexible working arrangements. Learn more here about our work to support"|"Digital and Programmatic Senior Associate - reed.co.uk"|"2021-03-22"|"Competitive salary"|"London"|"Permanent, full-time"|"The Guardian"|"Direct employer"|"Marketing And Media"
"MORE ABOUT THIS JOB ABOUT MARQUEE The Marquee team at Goldman Sachs delivers digital products and services to our institutional clients. We design and build highly-scalable solutions allowing access to the firm's content, data, analytics, risk and execution  services. These solutions transform client experiences while generating new revenue streams and business models. Our strategic initiatives disrupt the status-quo by innovating new businesses that unlock the power of Goldman Sachs for our clients. Our team  of engineers, designers, product managers and data scientists collaborate to drive innovation in digital finance. We surround ourselves with big thinkers who thrive on tackling fresh challenges and uniting around a common vision. We move fast, embrace change  and welcome fresh perspectives. Help us build the future of finance from the center of global markets. Marquee product designers have tremendous responsibility in shaping the team's strategic vision, understanding and communicating user needs, and working  with teams across the firm to prototype and build new digital experiences. We are looking for a product designer who enjoys translating complex user needs into intuitive, simple and impactful products. This product designer will partner with product managers,  engineers and our stakeholders on key initiatives for our clients. RESPONSIBILITIES AND QUALIFICATIONS ABOUT THE ROLE The Marquee Execution team is responsible for our comprehensive range of cross asset trading tools and order management capabilities. In this  role you will be working with product managers, engineers and other members of the product design team to create a seamless trading experience for our clients. You will be a responsible for understanding the end user goals and designing the key workflows and  polished user facing screens that deliver a consistent experience across multiple channels including desktop, web and mobile. Marquee Execution is a key revenue driver, and the success of our trading capabilities is integral to the success of the whole platform,  so your work will be highly visible and have tremendous impact. RESPONSIBILITIES Collaborate effectively with product and engineering teams to enhance and create new concepts for different authoring workflows and the content consumption experience. Participate  in strategy meetings in collaboration with product management, product design, engineering and editorial. Own design projects from beginning to end, including discovery, concept, detailed design and implementation, facilitating progress at each stage. Building  and maintaining a consistent, branded presence across all created content and media. Designing, producing and managing engaging interactive content, including email templates and promotional artwork that meet usability, web and mobile standards. Develop strategy,  approach and timelines for design projects in collaboration with product management and engineering. Participate in user research studies to iteratively gain insights that guide design decisions. Analyze and visualize user journeys, flows, processes and relationships.  Adopt and adapt the Marquee design system using system- and platform-thinking to create new design patterns that fit holistically into the larger product and branding ecosystem. BASIC QUALIFICATIONS 5+ years industry experience in visual and product design.  A portfolio that demonstrates experience in designing and shipping large-scale product releases. Strong knowledge of UX principles and how they apply across web, desktop and mobile. Entrepreneurial drive and a desire to work in a commercially focused, fast-paced  environment. Team player: Comfortable collaborating with fellow designers to deliver the best outcome. Strong understanding of the product design process. Ability to apply and facilitate iterative discovery, design thinking and co-creation methodologies. Ability  to understand, balance and solve for both business and user needs. Understanding of web and mobile standards, capabilities and best practices. Experience with Figma, Sketch, InVision, Adobe Creative Suite and design systems. Strong design leadership skills:  Capable of advocating for quality design while also acknowledging the constraints. Excellent verbal and written communication skills. PREFERRED QUALIFICATIONS Degree in Design, or a related field. Motion graphics and animation experience is huge plus as we  expand our multimedia offerings. Experience with working in agile development environments, ideally in-house within an integrated product, engineering and design team. Experience with user research, including contextual inquiry and usability testing. A passion  for technology and a keen interest in financial markets, trading and math. WHY MARQUEE Work on some of the most complex technical and design challenges in technology and finance. Learn from the foremost experts in finance, technology and math who are diverse  in their academic, ethnic and social backgrounds. Benefit from ongoing training, development and mentoring to advance in your career. ABOUT GOLDMAN SACHS ABOUT GOLDMAN SACHS At Goldman Sachs, we commit our people, capital and ideas to help our clients, shareholders  and the communities we serve to grow. Founded in 1869, we are a leading global investment banking, securities and investment management firm. Headquartered in New York, we maintain offices around the world. We believe who you are makes you better at what you  do. We're committed to fostering and advancing diversity and inclusion in our own workplace and beyond by ensuring every individual within our firm has a number of opportunities to grow professionally and personally, from our training and development opportunities  and firmwide networks to benefits, wellness and personal finance offerings and mindfulness programs. Learn more about our culture, benefits, and people at GS.com/careers . We're committed to finding reasonable accommodations for candidates with special needs  or disabilities during our recruiting process. Learn more: https:// careers/footer/disability-statement.html © The Goldman Sachs Group, Inc., 2021. All rights reserved. Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Veteran/Sexual  Orientation/Gender Identity"|"Product Designer - Marquee Trading Platform - reed.co.uk"|"2021-03-16"|"Competitive salary"|"London"|"Permanent, full-time"|"eFinancial Careers"|"Direct employer"|"Marketing And Media"
"MORE ABOUT THIS JOB ABOUT MARQUEE The Marquee team at Goldman Sachs delivers digital products and services to our institutional clients. We design and build highly-scalable solutions allowing access to the firm's content, data, analytics, risk and execution  services. These solutions transform client experiences while generating new revenue streams and business models. Our strategic initiatives disrupt the status-quo by innovating new businesses that unlock the power of Goldman Sachs for our clients. Our team  of engineers, designers, product managers and data scientists collaborate to drive innovation in digital finance. We surround ourselves with big thinkers who thrive on tackling fresh challenges and uniting around a common vision. We move fast, embrace change  and welcome fresh perspectives. Help us build the future of finance from the center of global markets. Marquee product designers have tremendous responsibility in shaping the team's strategic vision, understanding and communicating user needs, and working  with teams across the firm to prototype and build new digital experiences. We are looking for a product designer who enjoys translating complex user needs into intuitive, simple and impactful products. This product designer will partner with product managers,  engineers and our stakeholders on key initiatives for our clients. RESPONSIBILITIES AND QUALIFICATIONS ABOUT THE ROLE The Marquee Content team drives authoring, distribution and editorial curation of content authored by salespeople, traders and quantitative  analysts. You will be working with a team of editors, authors, product managers, engineers and product designers to create a powerful content experience for our clients. You will be designing a mixture of strongly branded editorial support materials, delivered  across multiple channels - web, desktop and mobile. Marquee content is the platform's biggest traffic driver, and the success of Marquee content is integral to the success of the whole platform, so your work will have tremendous impact. RESPONSIBILITIES Collaborate  effectively with product and engineering teams to enhance and create new concepts for different authoring workflows and the content consumption experience. Participate in strategy meetings in collaboration with product management, product design, engineering  and editorial. Own design projects from beginning to end, including discovery, concept, detailed design and implementation, facilitating progress at each stage. Building and maintaining a consistent, branded presence across all created content and media. Designing,  producing and managing engaging interactive content, including email templates and promotional artwork that meet usability, web and mobile standards. Develop strategy, approach and timelines for design projects in collaboration with product management and  engineering. Participate in user research studies to iteratively gain insights that guide design decisions. Analyze and visualize user journeys, flows, processes and relationships. Adopt and adapt the Marquee design system using system- and platform-thinking  to create new design patterns that fit holistically into the larger product and branding ecosystem. BASIC QUALIFICATIONS 3-5 years industry experience in visual and product design. A portfolio that demonstrates experience in designing and shipping large-scale  product releases. Strong knowledge of UX principles and how they apply across web, desktop and mobile. Entrepreneurial drive and a desire to work in a commercially focused, fast-paced environment. Team player: Comfortable collaborating with fellow designers  to deliver the best outcome. Strong understanding of the product design process. Ability to apply and facilitate iterative discovery, design thinking and co-creation methodologies. Ability to understand, balance and solve for both business and user needs.  Understanding of web and mobile standards, capabilities and best practices. Experience with Sketch, InVision, Figma, Adobe Creative Suite and design systems. Strong design leadership skills: Capable of advocating for quality design while also acknowledging  the constraints. Excellent verbal and written communication skills. PREFERRED QUALIFICATIONS Degree in Design, or a related field. Motion graphics and animation experience is huge plus as we expand our multimedia offerings. Experience with working in agile  development environments, ideally in-house within an integrated product, engineering and design team. Experience with user research, including contextual inquiry and usability testing. A passion for technology and a keen interest in financial markets, trading  and math. WHY MARQUEE Work on some of the most complex technical and design challenges in technology and finance. Learn from the foremost experts in finance, technology and math who are diverse in their academic, ethnic and social backgrounds. Benefit from  ongoing training, development and mentoring to advance in your career. ABOUT GOLDMAN SACHS ABOUT GOLDMAN SACHS At Goldman Sachs, we commit our people, capital and ideas to help our clients, shareholders and the communities we serve to grow. Founded in 1869,  we are a leading global investment banking, securities and investment management firm. Headquartered in New York, we maintain offices around the world. We believe who you are makes you better at what you do. We're committed to fostering and advancing diversity  and inclusion in our own workplace and beyond by ensuring every individual within our firm has a number of opportunities to grow professionally and personally, from our training and development opportunities and firmwide networks to benefits, wellness and  personal finance offerings and mindfulness programs. Learn more about our culture, benefits, and people at GS.com/careers . We're committed to finding reasonable accommodations for candidates with special needs or disabilities during our recruiting process.  Learn more: https:// careers/footer/disability-statement.html © The Goldman Sachs Group, Inc., 2021. All rights reserved. Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Veteran/Sexual Orientation/Gender Identity"|"Product Designer - Marquee Content - reed.co.uk"|"2021-03-16"|"Competitive salary"|"London"|"Permanent, full-time"|"eFinancial Careers"|"Direct employer"|"Marketing And Media"
"Are you a creative, driven and collaborative individual with a proven record in leading programmes and teams to deliver impact at significant scale? Do you have a passion for innovation and a deep understanding of its potential opportunities in the form  of data driven technologies and new enterprise models to bring about societal change and transform markets?Then join Nesta Challenges as Challenge Director, where you will lead and develop our work in the UK on new technologies, business models and markets  - with a focus on the application of digital innovation to improve people's lives and transform markets that is made possible through wider access to data and rapid changes in technology. About Nesta and Nesta ChallengesWe are Nesta. The UK's innovation agency  for social good. We design, test and scale new solutions to society's biggest problems, changing millions of lives for the better. We confront challenges that affect millions of people, from chronic childhood inequality to ill-health and the climate crisis.  We believe that innovation is more possible now than ever before. We see opportunities to mobilise citizens and influence behaviour. A wealth of private and public capital that can be used more creatively. Pools of data to mine. And so we draw on these rich  resources by bringing together multidisciplinary teams: data scientists, designers and behavioural scientists, practitioners at the frontline, academics; and people with lived experience. Together, we design, test and scale new solutions to society's biggest  problems. We partner with frontline organisations, build new businesses and work to change whole systems. Harnessing the rigour of science and the creativity of design, we work relentlessly to put ideas to the test.Our Challenges team is at the forefront of  identifying and defining problems where new ideas, technologies and approaches can be encouraged to radically improve outcomes and then developing and managing challenge prizes that optimise the likelihood of success. Challenge prizes are competitions which  reward whoever can first, or most effectively, meet a defined challenge and we have launched prizes that include improving outcomes for Nepalese farmers, improving access to energy for refugees and the £10m Longitude Prize for antimicrobial resistance.About  this exciting opportunityYou will oversee Nesta Challenges - a social enterprise with world-leading expertise in designing and running challenge prizes that attract and support innovators from around the world to solve pressing societal problems. As Challenge  Director, you will be expected to represent Nesta Challenges' work in the UK focused on data driven technologies and market innovation, building relationships with key partners, funders and clients, and communicating our work with authority and credibility.  You will also be expected to: Be an inspiring director, leading and motivating others and ensuring that there is a dynamic and effective culture of trust Set the direction for, and manage effectively, a multidisciplinary team across multiple programmes of  work Identify promising opportunities for impact in technology based innovation Manage and drive income generation and open up new contacts, partnerships and funding opportunities Steer relationships with a portfolio of government and commercial agencies Oversee  and guide large-scale complex programmes of work, ensuring focus on the strategic goalWhat we are looking forYou will have extensive experience of collaborating with a diverse range of government and industry partners and clients and of leading programmes  and teams to deliver impact at significant scale. You will also have a proven record of influencing innovation and technology policy, translating applied insights for policy and practice and possess excellent commercial and revenue generation acumen and partner  and client relationship management.An impressive communicator, including public platform speaking and the authority to speak globally and nationally, and a collaborative and transparent leader with a passionate approach to Nesta Challenges' purpose, you will  also have a strong understanding of impact, social change and performance management principles.At Nesta, we believe that a diverse workforce leads to an organisation that is more innovative, more creative and gets better results.We want our workforce to represent  the diversity of the people and communities we serve. We also want our workplace to be one where different experiences, expertise and perspectives are valued, and where everyone is encouraged to grow and develop.This means that when we are recruiting, we actively  seek to reach a diverse pool of candidates. It also means that we are happy to consider any reasonable adjustments that potential employees may need to in order to be successful.We recognise the importance of a good balance between work and home life, so we  do everything we can to accommodate flexible working, including working from home, compressed or part-time hours, job shares and other arrangements.Please just let us know in your application or at any stage throughout the process (and beyond) if these are  options you would like to explore.Closing date: 6 April 2021 at 8am. Interviews will take place w/c 14th of April 2021."|"Challenge Director - UK Technologies and Markets - reed.co.uk"|"2021-03-21"|"Competitive salary"|"London"|"Permanent, full-time or part-time"|"The Guardian"|"Direct employer"|"Information Technology"
"We are recruiting for a Head of Operations to join Nesta Challenges!About Nesta and Nesta ChallengesWe are Nesta. The UK's innovation agency for social good. We design, test and scale new solutions to society's biggest problems, changing millions of lives  for the better.We confront challenges that affect millions of people, from chronic childhood inequality to ill-health and the climate crisis.We believe that innovation is more possible now than ever before. We see opportunities to mobilise citizens and influence  behaviour. A wealth of private and public capital that can be used more creatively. Pools of data to mine.And so we draw on these rich resources by bringing together multidisciplinary teams: data scientists, designers and behavioural scientists, practitioners  at the frontline, academics; and people with lived experience.Together, we design, test and scale new solutions to society's biggest problems. We partner with frontline organisations, build new businesses and work to change whole systems. Harnessing the rigour  of science and the creativity of design, we work relentlessly to put ideas to the test.Our Challenges team is at the forefront of identifying and defining problems where new ideas, technologies and approaches can be encouraged to radically improve outcomes  and then developing and managing challenge prizes that optimise the likelihood of success. Challenge prizes are competitions which reward whoever can first, or most effectively, meet a defined challenge and we have launched prizes that include improving outcomes  for Nepalese farmers, improving access to energy for refugees and the £10m Longitude Prize for antimicrobial resistance.The RoleNesta Challenges is looking for an exceptional Head of Operations to proactively own, manage and lead our operations as we look  to grow, and increase our impact globally. You will work closely with your leadership peers to ensure that the operational delivery for the organisation is fit for purpose and able to respond to our pioneering working environment.You will have led operations  in a similar sized organisation before, be intuitive, have sound judgement, attention to detail and be a true team player - empowering others, fostering teamwork and developing people. An ability to build strong relationships across a diverse team and excellent  diplomatic and negotiation skills are essential, alongside a clear passion and commitment to social innovation. You will need to be comfortable with innovation and change and comfortable working within a 'one team' approach.You will be responsible for finance,  human resources, governance, compliance, systems and processes. You will help drive our strategy through effective and proactive organisational and financial management, ensuring Nesta Challenges is a healthy, positive and high performing place to be.You will  be very comfortable with big picture thinking and making strategic recommendations, at the same time as being heavily involved in the detail of finance, people and the appropriate deployment of resourcing across teams to support the impact of our work and  to meet client demands and deadlines.You will have: a strong track record in business management and operations a good understanding of talent and culture management including the importance of good Equity, Diversity and Inclusion (E,D&I) practice strong financial  acumen ability to handle ambiguity top notch communication skills excellent people skills and the ability to collaborate across the teamWhat we offerSalary: £56k - £73k plus array of benefits, including health cash plans, dental insurance, the ability to buy  and sell annual leave, eyecare vouchers and moreLocation: This role is based in Blackfriars, Central London, but we offer some flexibility for our people to work remotelyTerm: PermanentHours: This is a full-time role but we offer a range of flexible working  arrangements and encourage our people to take advantage of them. Many do.Making an applicationTo apply for this role, please submit your application before 8:00am on the 29th of March 2021. First interviews will take place w/c 5th of April 2021.At Nesta, we  believe that a diverse workforce leads to an organisation that is more innovative, more creative and gets better results.We want our workforce to represent the diversity of the people and communities we serve. We also want our workplace to be one where different  experiences, expertise and perspectives are valued, and where everyone is encouraged to grow and develop.This means that when we are recruiting, we actively seek to reach a diverse pool of candidates. It also means that we are happy to consider any reasonable  adjustments that potential employees may need to in order to be successful.We recognise the importance of a good balance between work and home life, so we do everything we can to accommodate flexible working, including working from home, compressed or part-time  hours, job shares and other arrangements.Please just let us know in your application or at any stage throughout the process (and beyond) if these are options you'd like to explore."|"Head of Operations - reed.co.uk"|"2021-03-21"|"Competitive salary"|"London"|"Permanent, full-time or part-time"|"The Guardian"|"Direct employer"|"Health And Social"
